#,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
,,,,,,,,,,,,,,,,,,,,,
713,Real Valladolid CB,37,40.1,75.4,27.4,61.5,.445,7.2,19.7,.364,13.4,18.5,.723,9.2,22.7,31.9,12.3,6.4,2.7,11.6,19.5
714,Hamburg Towers,30,40.2,75.3,25.7,59.2,.434,7.0,22.5,.313,16.9,23.6,.716,10.4,22.6,33.1,14.0,6.0,2.5,14.3,19.8
715,Brest Region,44,40.1,75.3,27.8,70.9,.392,5.2,19.2,.271,14.5,22.8,.634,12.6,24.6,37.2,19.6,9.4,2.2,20.5,20.2
716,Hottur Egilsstadir,22,40.5,75.3,27.2,69.5,.391,8.1,26.7,.303,12.8,18.0,.712,8.7,27.5,36.2,17.1,6.7,2.0,15.0,22.9
717,ALBA Berlin U18,4,40.0,75.3,26.5,63.8,.416,8.5,26.0,.327,13.8,17.0,.809,9.5,23.3,32.8,18.8,11.8,3.3,18.0,21.3
718,Promitheas Patras U18,4,40.0,75.3,29.0,69.3,.419,4.5,17.8,.254,12.8,18.3,.699,16.5,27.3,43.8,13.8,6.3,3.3,19.0,20.0
719,UNICS-2,39,40.0,75.2,27.3,65.3,.418,6.1,19.9,.308,14.6,21.7,.672,12.2,25.3,37.5,17.6,10.4,2.3,19.0,19.9
720,AE Doxa Lefkadas,30,40.1,75.2,26.0,58.0,.449,8.2,23.1,.355,15.0,20.3,.740,7.2,23.0,30.2,13.8,6.3,1.6,11.2,21.1
721,TTU KK,37,40.1,75.2,26.9,66.2,.407,7.2,24.0,.298,14.1,19.4,.727,10.4,22.4,32.8,13.9,7.8,3.1,12.2,22.9
722,USK Praha,32,40.5,75.1,27.1,59.4,.456,8.9,25.5,.350,11.9,18.3,.649,8.3,23.9,32.3,15.9,5.8,2.8,13.3,18.1
723,Olimpi,33,39.8,75.1,27.9,65.1,.428,7.8,25.0,.311,11.5,18.2,.636,8.9,22.9,31.8,17.1,9.6,2.8,14.3,19.0
724,KTU Kaunas,42,40.1,75.1,27.6,61.1,.451,9.1,26.4,.345,10.8,15.3,.706,8.0,20.5,28.4,18.1,7.8,2.3,15.6,22.6
725,Baskets Akad.Weser-Ems/Oldenburger TB,24,40.2,75.0,26.8,61.6,.435,8.0,23.5,.339,13.5,19.2,.704,8.4,25.1,33.5,16.8,7.6,2.6,14.3,19.0
726,Fraport Skyliners Juniors,25,40.6,75.0,25.7,60.2,.427,9.0,27.2,.329,14.6,20.1,.728,9.1,23.9,33.0,15.8,7.3,2.1,16.0,19.3
727,Rogaska Crystal,34,40.6,75.0,26.2,60.2,.436,8.5,25.1,.340,14.0,18.7,.750,8.0,20.6,28.6,16.0,6.3,1.9,11.8,21.3
728,BMS Herlev Wolfpack,24,40.3,75.0,28.4,68.1,.417,6.4,22.3,.287,11.7,18.3,.640,11.1,23.6,34.7,13.1,7.7,1.0,16.8,19.3
729,Old Wild West Udine,38,41.3,74.9,27.8,64.5,.431,6.4,22.4,.287,12.9,18.3,.705,10.2,26.3,36.6,14.9,6.0,3.1,13.7,20.3
730,Denain ASC Voltaire,36,40.3,74.9,27.3,61.6,.443,9.0,25.7,.350,11.9,17.3,.691,7.9,23.0,30.9,17.5,6.9,2.3,13.9,19.9
731,Poitiers Basket 86,34,40.3,74.9,26.4,59.9,.440,7.4,21.6,.340,15.6,21.2,.735,8.2,22.4,30.6,15.5,5.9,3.2,13.3,19.6
732,CD Maristas Palencia,42,40.0,74.8,27.5,62.7,.438,7.0,20.5,.340,13.0,17.4,.745,9.1,22.9,32.0,13.0,6.6,1.8,9.6,20.0
733,Buducnost Voli Podgorica U18,6,40.0,74.8,25.2,57.5,.438,6.0,20.2,.298,18.5,24.8,.745,8.2,18.3,26.5,15.3,9.7,1.2,17.8,23.0
734,SC Rist Wedel,27,40.0,74.8,26.6,64.6,.411,7.7,27.2,.283,14.0,22.6,.620,9.2,24.6,33.7,13.9,8.6,2.1,13.7,23.3
735,AS Kastoria,30,40.1,74.8,27.3,57.2,.476,7.2,21.2,.340,13.0,17.7,.735,7.8,25.6,33.3,16.5,4.5,1.7,13.1,19.6
736,BBC Monthey,30,39.9,74.8,28.0,60.4,.464,6.7,19.6,.340,12.0,16.9,.712,9.5,24.6,34.0,15.1,6.6,1.3,12.7,19.8
737,CB Ourense,34,40.1,74.7,27.4,62.3,.439,7.1,23.4,.306,12.8,17.4,.739,10.4,23.5,33.8,11.9,6.3,2.3,13.1,19.7
738,Kolossos Rodou BC,28,40.5,74.7,27.5,61.0,.450,8.4,24.9,.336,11.4,16.4,.697,8.2,23.6,31.8,16.0,6.7,1.7,12.8,22.8
739,Espoirs Monaco,35,40.0,74.7,26.3,60.9,.432,5.7,21.0,.273,16.4,24.5,.669,11.3,24.1,35.4,15.1,9.9,3.7,18.5,18.1
740,KK Tajfun Sentjur,31,40.8,74.7,25.8,59.4,.435,6.7,20.3,.333,16.3,20.5,.795,8.1,21.7,29.8,16.2,6.2,1.4,14.5,22.6
741,Link Tochigi Brex,62,40.1,74.7,29.2,67.7,.431,5.9,18.2,.326,10.5,14.8,.705,10.1,23.4,33.5,18.0,7.8,2.5,10.6,19.1
742,Sokhumi,31,40.1,74.7,28.0,68.3,.410,6.6,23.0,.289,12.0,17.3,.694,10.3,25.7,35.9,14.7,6.3,2.3,16.4,17.2
743,Baunach Young Pikes,30,40.3,74.7,27.1,59.2,.458,6.5,20.2,.321,13.9,18.4,.754,7.3,22.4,29.8,17.0,6.5,3.0,16.1,22.0
744,GET Vosges,34,40.0,74.6,27.6,67.0,.412,8.1,26.0,.310,11.4,17.9,.635,11.8,22.0,33.7,15.1,9.1,2.4,13.5,20.1
745,BSC Raiffeisen Panthers Furstenfeld,32,40.2,74.6,26.9,60.6,.444,8.9,26.6,.333,11.9,16.5,.720,9.2,19.8,28.9,16.3,5.6,2.6,12.8,16.8
746,BC Siroki,30,38.7,74.6,26.6,57.8,.460,7.7,23.2,.332,13.7,18.9,.724,9.2,22.9,32.1,17.1,6.7,2.5,14.4,21.6
747,Ormanspor Genc Ankara,34,40.3,74.6,26.5,62.0,.427,8.1,24.9,.325,13.6,19.3,.703,9.1,23.6,32.7,16.1,6.7,2.0,13.1,20.1
748,MBC Mykolaiv,36,40.4,74.6,26.0,62.5,.416,8.0,25.5,.313,14.6,20.4,.719,10.1,24.2,34.3,17.0,6.5,3.3,14.8,21.3
749,Caxias Do Sul Basquetetriches,35,40.3,74.5,26.5,61.2,.434,7.3,22.4,.325,14.2,20.3,.697,8.5,22.9,31.4,15.9,8.7,1.8,13.1,21.6
750,BC Ulcinjska Rivijera,10,40.0,74.5,29.5,64.7,.456,8.9,24.9,.357,6.6,8.7,.759,7.8,18.7,26.5,18.0,8.1,0.6,13.2,23.3
751,Ferro-ZNTU Zaporozhye,30,40.0,74.5,26.6,63.6,.418,6.8,23.0,.295,14.5,20.6,.706,10.0,23.4,33.5,15.0,7.9,2.8,15.4,21.8
752,Socar Petkimspor,34,40.1,74.4,26.5,59.8,.444,8.7,25.2,.346,12.7,18.1,.700,9.4,22.2,31.6,15.8,6.0,1.1,13.6,20.9
753,Ethnikos Piraeus,33,40.3,74.4,25.6,59.6,.430,9.0,26.1,.344,14.2,20.8,.684,8.1,25.0,33.0,15.3,6.4,0.8,13.1,21.5
754,Euroins Cherno More,26,40.4,74.4,27.3,65.1,.420,7.2,26.2,.276,12.6,18.9,.665,10.4,24.6,35.0,15.0,5.5,1.5,14.3,18.1
755,Forca Lleida CE,34,40.1,74.4,27.5,60.5,.455,7.1,19.6,.361,12.3,16.0,.765,8.4,21.5,29.9,12.4,5.7,2.5,11.0,19.7
756,B.C. Martorell Solvay,30,40.2,74.4,27.9,66.9,.416,7.8,25.3,.310,10.8,14.4,.752,10.0,22.8,32.8,13.4,7.9,3.3,13.1,19.0
757,Basketball Lowen Braunschweig,34,40.0,74.3,26.6,59.8,.445,6.8,21.2,.321,14.3,19.7,.725,8.9,22.5,31.4,17.2,6.5,2.8,14.1,20.5
758,Melilla CB,48,40.4,74.3,27.7,60.4,.459,8.5,24.1,.354,10.4,15.1,.685,8.3,25.6,33.9,15.1,5.4,2.5,11.5,18.3
759,Ryukyu Golden Kings,64,40.2,74.3,27.1,61.2,.444,8.7,24.4,.356,11.3,16.5,.685,9.3,24.9,34.2,19.3,7.0,3.4,14.0,19.0
760,Walter Tigers Tubingen,34,40.1,74.3,26.9,61.6,.436,8.6,24.8,.347,11.9,16.9,.709,7.7,18.6,26.3,18.8,6.0,2.1,11.6,21.4
761,KK Ibar Rozaje,12,39.8,74.3,28.3,61.3,.463,7.7,22.1,.347,9.9,14.8,.672,7.3,20.0,27.3,16.9,5.6,0.6,11.9,16.3
762,Darussafaka Dogus Istanbul Junior,4,40.0,74.3,28.5,65.8,.433,6.8,24.5,.276,10.5,17.5,.600,10.0,25.0,35.0,16.5,9.0,2.0,16.5,19.3
763,CB Clavijo Logrono,34,40.1,74.2,27.9,64.8,.431,7.0,22.6,.311,11.3,16.1,.699,11.6,20.3,31.9,13.0,9.4,2.3,12.7,19.2
764,Hyeres-Toulon,34,40.1,74.2,27.6,63.5,.434,8.6,23.6,.362,10.5,15.1,.693,9.6,20.5,30.1,14.6,6.9,1.8,13.1,18.9
765,SAM Basket Massagno,31,40.1,74.2,28.1,63.2,.445,6.8,19.9,.340,11.2,15.9,.700,11.5,21.3,32.7,15.2,7.7,1.6,12.5,18.4
766,Dresden Titans,24,40.4,74.2,25.4,63.5,.400,9.4,28.0,.337,13.9,18.4,.757,9.3,23.5,32.8,15.5,7.4,3.2,13.1,18.8
767,Antonine,29,40.0,74.1,29.0,70.8,.409,7.2,24.0,.298,9.0,13.7,.660,11.4,23.4,34.9,16.7,7.0,3.1,12.3,19.5
768,KK Studen Mostar,29,40.0,74.1,26.6,62.7,.425,8.1,25.6,.317,12.8,17.8,.718,10.4,23.0,33.4,12.9,4.2,1.1,13.3,18.1
769,KK Pelister Sport Bitola,32,40.1,74.1,26.9,60.5,.444,9.6,27.8,.346,10.8,15.6,.691,7.4,22.3,29.7,11.2,5.7,1.0,12.9,19.8
770,Samsunspor DSI,34,40.1,74.1,27.5,62.5,.440,8.9,24.8,.360,10.2,14.2,.716,8.5,23.2,31.7,16.3,5.7,1.7,13.8,19.8
771,Ifestos Limnou,26,39.9,74.1,25.8,61.2,.421,6.8,21.2,.323,15.7,20.8,.757,8.7,21.9,30.6,13.8,6.9,1.5,13.1,22.3
772,Michelin Etha Engomis,20,40.4,74.1,27.1,65.0,.416,6.6,21.2,.309,13.5,19.4,.695,10.9,22.2,33.0,12.7,5.9,2.3,13.0,20.3
773,Palangos Kursiai,39,40.0,74.1,26.8,60.9,.441,7.9,23.6,.336,12.4,17.3,.720,6.8,21.5,28.3,14.5,7.4,1.6,15.2,17.9
774,KK Vrijednosnice Osijek,26,40.2,74.0,26.9,59.3,.453,8.4,23.2,.361,11.9,17.5,.681,8.7,23.7,32.4,15.6,4.6,1.5,16.0,20.3
775,Yenisei-2,36,40.0,74.0,26.2,69.2,.378,6.9,23.6,.291,14.8,20.7,.718,10.4,20.3,30.7,16.1,9.9,2.8,17.9,21.7
776,CB Gran Canaria II,4,40.0,74.0,28.5,66.3,.430,3.8,14.3,.263,13.3,24.0,.552,14.5,25.8,40.3,12.0,8.0,5.0,18.3,19.3
777,Tromso Storm,29,40.0,73.9,27.5,69.0,.399,8.3,24.8,.335,10.4,14.4,.724,9.7,24.3,34.0,14.7,7.3,2.3,12.1,17.1
778,Espoirs Gravelines-Dunkerque,37,40.3,73.8,26.2,63.1,.415,8.3,26.4,.314,13.1,17.6,.745,9.5,24.6,34.0,16.8,6.6,1.3,13.6,17.0
779,MZT Skopje Aerodrom U19,4,40.0,73.8,27.0,70.3,.384,6.5,22.5,.289,13.3,20.0,.663,11.3,23.8,35.0,12.8,12.0,1.5,18.0,19.0
780,KK Bosnjak Hadzici,30,40.0,73.7,27.8,59.8,.465,6.0,20.8,.291,12.0,18.0,.668,7.2,20.6,27.9,14.4,5.8,1.1,14.2,19.1
781,Espoirs Chalon-Saone,34,40.1,73.7,27.5,64.0,.429,6.5,23.2,.279,12.3,19.0,.647,11.9,24.0,35.9,17.5,10.3,2.6,17.2,17.1
782,Regatas Lima,3,40.0,73.7,28.3,76.7,.370,6.3,27.0,.235,10.7,17.7,.604,12.0,38.7,50.7,22.3,6.3,1.0,15.0,22.7
783,Napoli Basket,30,40.7,73.7,27.9,62.4,.448,7.1,22.0,.321,10.7,15.2,.706,6.8,21.1,27.9,12.9,5.2,1.8,10.3,18.2
784,Osaka Evessa,60,40.2,73.6,27.3,63.4,.430,6.0,18.6,.324,13.0,17.5,.745,9.3,24.1,33.4,18.3,6.5,2.9,13.4,19.1
785,AS Karditsas,30,40.5,73.6,24.9,56.8,.439,7.0,22.1,.316,16.8,24.0,.701,7.8,24.1,31.9,15.5,6.1,1.5,12.5,22.2
786,Shiga Lakestars,60,40.3,73.6,28.4,63.8,.445,5.1,16.5,.308,11.7,17.2,.679,9.7,24.2,33.9,19.7,7.0,3.7,13.6,19.1
787,Zenit-2,39,40.4,73.5,27.2,69.1,.394,5.2,20.2,.256,13.9,21.1,.659,13.8,23.5,37.4,16.1,9.2,2.7,17.5,22.9
788,BC Apollo Amsterdam,32,40.5,73.5,26.2,63.8,.411,8.7,28.8,.302,12.4,18.3,.676,9.3,24.6,33.9,15.0,5.4,2.6,13.1,17.7
789,Anadolu Efes U18,4,40.1,73.5,29.8,73.8,.403,5.0,21.5,.233,9.0,17.3,.522,15.8,22.0,37.8,18.0,11.5,2.3,17.3,25.5
790,Espoirs Bourg-en-Bresse,34,40.0,73.5,27.5,60.1,.457,7.0,20.1,.347,11.6,16.4,.704,9.5,21.4,30.9,16.8,11.8,2.0,19.1,21.2
791,CB Bahia San Agustin Palma,35,40.0,73.5,27.4,59.8,.459,9.8,25.7,.382,8.8,11.8,.743,7.4,21.8,29.2,13.1,6.1,1.5,10.7,18.9
792,STB Le Havre,34,40.4,73.4,27.0,63.9,.422,7.6,25.0,.305,12.4,16.9,.738,8.5,24.6,33.1,17.2,4.9,2.3,13.4,18.8
793,Telsiai,43,40.3,73.4,27.7,63.2,.438,5.5,18.3,.302,12.5,17.6,.710,8.1,22.0,30.2,15.5,10.0,1.7,12.3,17.9
794,Espoirs Boulazac,34,40.3,73.4,26.7,63.3,.423,7.8,27.2,.285,12.1,19.2,.631,10.5,19.7,30.2,14.1,10.1,0.9,18.1,20.0
795,KK Hermes Znalitica,24,40.2,73.3,26.7,58.9,.453,6.5,19.5,.333,13.4,19.2,.698,8.6,22.3,30.9,16.0,7.8,1.4,17.9,18.8
796,Rhein Stars Koeln,33,40.1,73.2,26.7,61.5,.434,8.8,25.4,.346,11.0,16.0,.684,8.8,21.8,30.5,17.4,9.5,2.9,15.9,19.4
797,Minas,35,41.0,73.2,25.6,61.1,.419,8.4,26.1,.321,13.6,19.5,.699,7.1,23.5,30.5,18.6,8.1,2.8,13.5,18.6
798,Orange Academy Ratiopharm,29,40.1,73.1,25.1,60.9,.412,7.9,26.6,.298,15.0,20.4,.734,9.1,22.2,31.4,15.1,5.7,2.0,16.1,21.5
799,Espoirs Asvel,38,39.4,73.1,26.2,61.4,.428,7.4,23.2,.322,13.2,20.1,.654,9.3,24.5,33.8,15.7,8.9,1.7,17.8,16.5
800,TG s.Oliver Wurzburg,28,40.1,73.1,26.8,58.6,.456,7.4,23.4,.314,12.2,17.5,.699,8.4,23.9,32.3,17.0,6.7,2.4,16.9,19.8
801,Albacete Basket,39,40.3,73.1,27.2,62.2,.437,7.7,24.2,.316,11.1,16.3,.679,9.3,23.7,33.0,13.5,7.7,2.1,12.3,19.9
802,Stella Artois Leuven Bears,36,40.2,73.0,26.5,62.4,.424,7.1,21.1,.339,12.9,19.0,.679,9.3,23.2,32.5,14.3,4.8,2.3,13.3,20.2
803,Olympiacos U18,4,39.9,73.0,27.0,64.0,.422,5.3,17.3,.304,13.8,19.0,.724,9.5,22.5,32.0,13.3,11.8,2.5,16.8,19.0
804,Enosis Neon Paralimni,23,40.2,73.0,27.4,67.2,.408,7.2,25.4,.283,10.9,15.9,.686,9.8,22.9,32.7,14.0,8.9,2.7,11.0,19.5
805,Carrefour El Bulevar,36,40.4,72.9,26.2,58.6,.447,6.3,20.4,.308,14.2,19.4,.731,7.4,24.8,32.2,13.4,8.1,1.5,13.3,18.6
806,Marinos,12,39.9,72.8,25.8,62.8,.410,7.0,23.9,.293,14.3,20.8,.691,7.9,19.5,27.4,13.3,8.8,1.8,12.9,21.4
807,Sanen Neophoenix,60,40.2,72.8,26.6,61.1,.435,7.7,22.3,.343,12.1,18.0,.671,6.8,26.0,32.8,17.2,5.4,1.8,12.0,15.4
808,Sefa Arkadikos,30,40.4,72.8,25.7,58.2,.442,5.7,19.9,.288,15.6,24.0,.651,8.8,23.6,32.4,14.7,6.9,1.4,15.8,22.5
809,Nancy Basket,36,40.0,72.8,26.8,60.8,.440,6.8,20.6,.328,12.8,18.3,.703,9.8,23.4,33.2,17.2,7.1,1.7,13.3,17.8
810,Swiss Central Basket Luzern,27,40.1,72.7,26.3,62.3,.421,7.8,25.0,.311,12.4,18.2,.682,9.6,20.2,29.8,12.3,6.6,2.0,12.6,18.5
811,Union Tarbes Lourdes Pyrennes Basket,34,39.8,72.6,27.6,61.3,.451,5.7,19.8,.289,11.6,16.0,.726,7.9,22.4,30.4,17.4,7.4,1.8,12.9,17.8
812,Latvijas Universitate,32,40.2,72.6,26.0,60.4,.431,6.8,21.1,.322,13.8,19.7,.702,8.3,20.8,29.1,16.9,7.9,2.0,14.1,20.5
813,Electrico FC,32,40.0,72.6,26.4,62.5,.423,6.1,21.3,.285,13.7,20.0,.685,11.9,21.4,33.3,15.5,7.1,2.9,15.4,18.0
814,Nishinomiya Storks,62,40.0,72.5,27.6,67.9,.407,5.7,17.2,.333,11.5,15.5,.743,9.4,22.5,31.9,14.6,7.6,2.7,12.1,20.1
815,Avtodor-2,36,40.1,72.5,25.9,65.9,.393,6.7,22.5,.298,13.9,21.4,.650,10.3,24.0,34.3,14.9,8.2,3.1,19.1,18.6
816,CB Prat,42,40.1,72.5,26.4,61.5,.430,7.8,24.9,.312,11.8,17.4,.682,10.4,23.5,33.9,12.0,6.7,3.4,10.5,16.7
817,Aubenas US,34,40.0,72.4,25.5,59.9,.426,6.8,20.4,.333,14.6,21.2,.688,9.1,22.1,31.2,13.1,7.7,1.4,13.7,18.6
818,Lille Metropole Basket Clubs,39,40.1,72.4,25.8,59.3,.435,7.7,22.9,.337,13.2,19.2,.686,8.7,24.7,33.3,16.6,6.5,2.8,13.7,19.9
819,BC Mess,12,40.4,72.3,28.2,67.2,.419,5.8,22.3,.261,10.2,15.1,.674,10.0,25.2,35.2,6.1,4.6,1.7,10.8,15.3
820,AS Papagou Athens,30,40.7,72.3,25.2,60.0,.420,6.5,23.1,.283,15.4,22.2,.696,9.9,25.7,35.6,15.7,5.0,3.5,15.0,22.9
821,UCC Assigeco Piacenza,30,41.0,72.2,26.0,60.7,.428,8.1,23.6,.342,12.2,17.3,.708,7.4,24.2,31.7,15.5,5.3,2.2,12.3,19.5
822,JBC MMCITE Brno,32,40.3,72.2,25.5,60.3,.422,6.6,22.0,.300,14.7,20.0,.736,8.8,22.0,30.8,13.2,6.4,1.7,12.7,20.8
823,KK Alkar,24,40.4,72.2,26.5,62.9,.422,7.8,24.0,.325,11.3,17.1,.663,8.8,20.4,29.2,16.5,6.8,2.4,14.2,21.5
824,AE Psychiko Athens,30,40.3,72.2,25.7,57.9,.444,7.7,23.6,.326,13.1,19.4,.677,8.2,26.2,34.4,16.2,6.0,2.2,14.2,22.9
825,Panionios BC,26,40.1,72.2,25.5,57.0,.448,6.8,20.8,.325,14.3,21.8,.657,7.6,24.0,31.6,15.1,5.3,2.3,13.0,20.0
826,Basic-Fit Brussels Basketball,46,40.1,72.1,27.5,60.0,.457,6.0,20.5,.294,11.2,15.9,.704,7.1,22.3,29.4,17.0,7.0,2.1,12.0,18.8
827,FC Bayern Munchen II,35,40.0,71.9,25.2,59.4,.424,6.7,22.0,.304,14.8,21.9,.673,9.0,22.3,31.3,14.5,8.5,2.2,16.3,21.1
828,KK Bosna,42,39.3,71.8,25.6,58.3,.440,8.2,25.3,.325,12.3,16.7,.738,7.9,22.1,30.0,13.7,6.5,1.6,13.1,20.3
829,BK Valmiera,41,40.1,71.8,27.0,61.6,.438,7.5,22.5,.333,10.3,14.4,.718,7.3,22.8,30.1,16.1,5.1,2.2,16.2,19.9
830,Yes All Gorgan,5,40.0,71.8,26.2,63.6,.412,5.4,18.8,.287,14.0,21.8,.642,10.6,23.8,34.4,14.8,7.6,2.2,18.2,23.2
831,Basquete Cearense,34,39.9,71.7,25.8,63.3,.408,8.4,26.7,.316,11.4,17.6,.647,10.6,24.4,35.0,13.3,6.8,1.9,14.0,19.3
832,Cholet Basket,35,40.0,71.7,27.8,63.5,.438,7.5,21.5,.348,9.6,14.8,.645,8.6,21.8,30.4,15.6,5.3,1.7,10.9,17.8
833,Aix Maurienne Savoie Basket,34,40.1,71.6,27.6,58.7,.471,8.0,23.7,.338,8.8,14.2,.619,6.5,23.5,30.0,18.1,5.5,1.2,14.2,19.0
834,Espoirs Chalons-Reims,34,40.0,71.6,26.7,60.8,.439,6.5,20.5,.316,11.7,18.0,.651,9.6,24.2,33.8,17.4,10.8,1.6,19.0,19.7
835,Apop Paphou,18,40.2,71.6,25.8,62.7,.412,6.7,21.9,.306,13.2,19.6,.673,10.4,23.1,33.4,15.3,5.2,1.9,16.1,17.6
836,Espoirs Boulogne-Levallois,33,40.2,71.5,25.8,63.5,.406,5.6,20.8,.268,14.4,21.5,.669,10.9,24.1,35.0,14.7,11.3,1.6,18.3,19.2
837,Espoirs Strasbourg,35,39.9,71.5,26.6,61.7,.431,6.1,21.3,.287,12.1,17.3,.701,10.5,23.5,34.0,16.5,10.1,2.4,17.6,17.4
838,Nurnberg Falcons BC,30,40.0,71.5,27.2,61.2,.444,5.7,18.7,.305,11.4,16.3,.700,9.3,22.5,31.8,17.3,7.6,2.2,15.3,20.8
839,KK Radnik Bijeljina,30,40.2,71.4,26.1,60.5,.432,5.8,19.5,.295,13.4,19.5,.687,10.0,18.6,28.5,11.1,8.5,0.9,16.7,19.8
840,Hermine Nantes Atlantique,34,40.9,71.4,25.4,61.3,.414,8.2,24.6,.332,13.1,19.3,.679,9.6,24.0,33.6,15.1,6.4,2.4,14.4,18.1
841,Real Murcia CB,30,40.2,71.4,25.6,61.2,.418,6.8,23.3,.294,13.4,19.2,.699,9.5,23.1,32.7,13.7,7.3,1.9,12.0,18.6
842,San Salvador BC,3,40.0,71.3,24.7,55.3,.446,9.3,23.3,.400,12.7,19.3,.655,5.0,23.7,28.7,13.3,8.7,1.0,20.3,21.3
843,Hitachi Sun Rockers,60,40.0,71.3,27.3,66.6,.410,6.2,19.6,.314,10.5,14.5,.721,10.3,24.8,35.0,16.8,7.2,2.4,11.9,16.6
844,Iraurgi SB,34,40.1,71.2,26.0,60.2,.431,8.2,23.4,.349,11.1,15.3,.727,8.2,22.4,30.6,11.8,4.8,1.7,12.2,17.9
845,Shimane Susanoo Magic,62,40.2,71.2,27.5,64.7,.425,6.0,17.7,.338,10.3,14.4,.711,9.0,24.1,33.1,17.1,6.0,2.8,13.0,19.8
846,AEL,29,40.0,71.2,25.0,60.9,.410,7.1,23.7,.301,14.1,20.8,.680,9.4,21.6,31.0,13.4,5.7,1.3,13.8,20.8
847,Amyntas BC,30,40.5,71.2,24.9,58.9,.423,7.6,25.0,.305,13.7,20.6,.666,7.1,22.8,29.9,15.8,6.4,1.1,11.6,25.4
848,UBSC Raiffeisen Graz,32,40.3,71.1,27.4,60.2,.456,5.1,17.8,.285,11.2,19.1,.584,10.2,22.9,33.2,15.9,4.0,1.3,17.8,14.5
849,Espoirs Hyers-Toulon,33,40.2,71.0,25.5,59.7,.427,7.2,22.8,.314,12.9,18.5,.696,8.1,20.5,28.6,15.6,8.5,1.1,16.1,20.9
850,Osorno Basquetbol,3,40.0,71.0,26.7,64.7,.412,3.3,12.0,.278,14.3,18.7,.768,5.7,23.3,29.0,16.7,4.3,1.3,16.3,16.3
851,Ermis Agias Larissa,30,40.1,70.9,24.9,58.5,.426,8.4,24.8,.338,12.7,19.6,.649,8.7,22.5,31.2,13.1,6.9,1.7,12.3,23.0
852,Celje,10,40.1,70.8,26.5,62.0,.427,4.9,15.7,.312,12.9,17.9,.721,9.7,22.6,32.3,14.1,5.2,1.0,17.5,24.7
853,BC Winterthur,27,40.1,70.8,27.0,64.0,.422,7.0,21.5,.324,9.8,13.7,.718,8.2,21.2,29.4,11.4,4.9,1.4,12.5,17.4
854,Energia Plus Seville U18,4,40.0,70.8,27.3,65.8,.414,5.5,22.0,.250,10.8,18.8,.573,12.3,19.0,31.3,11.0,11.5,1.5,16.0,17.3
855,KK Ribola Kastela,24,40.0,70.7,26.2,57.8,.453,6.5,19.8,.326,11.8,17.1,.689,7.2,20.0,27.2,18.2,5.8,1.5,16.8,17.5
856,CBP Huesca,34,40.1,70.6,26.0,60.9,.426,7.3,22.0,.332,11.4,15.9,.716,8.7,20.3,29.0,12.3,8.7,2.6,11.4,18.1
857,Delikatesas Joniskis,39,40.0,70.5,26.5,62.7,.423,7.1,24.6,.287,10.5,16.4,.637,8.6,22.1,30.7,15.4,6.6,2.0,13.7,19.7
858,Leeds Force,33,40.2,70.4,25.8,65.0,.397,9.4,29.6,.318,9.4,12.7,.739,8.2,22.4,30.6,17.4,4.9,2.5,19.4,16.4
859,ABA Strumica,32,40.0,70.3,27.3,63.4,.431,5.0,18.3,.271,10.6,16.7,.634,9.7,23.1,32.7,12.4,7.3,1.0,16.0,18.0
860,Uni Baskets Paderborn,30,40.2,70.2,24.2,58.9,.411,6.5,22.3,.292,15.3,21.0,.727,7.6,24.2,31.8,15.7,6.9,2.6,15.3,19.7
861,KIT SC Karlsruhe ACW,28,40.2,70.2,24.1,58.5,.412,8.5,25.9,.328,13.5,18.2,.741,8.4,22.1,30.5,14.5,5.9,1.4,15.4,18.0
862,ASA Koroivos Amaliadas,26,40.6,70.2,25.3,60.1,.421,5.9,19.3,.306,13.7,19.7,.697,7.4,22.7,30.1,12.9,6.5,2.6,13.4,22.7
863,Grondo-GrGU,51,40.2,69.9,26.5,69.6,.381,6.8,24.5,.279,10.1,14.6,.688,10.6,23.2,33.7,14.8,8.9,2.5,16.5,18.4
864,Centrum Tigers,27,40.0,69.9,27.3,67.4,.405,6.0,20.4,.296,9.3,12.7,.734,9.1,23.1,32.2,13.6,7.2,1.2,18.5,22.3
865,Botafogo F.R.,30,39.8,69.8,24.3,59.6,.409,6.9,21.5,.322,14.2,20.5,.693,8.0,24.5,32.5,14.7,7.0,2.5,14.6,22.2
866,Apollon Limassol BC,21,40.0,69.8,25.0,60.6,.413,6.4,23.1,.276,13.4,20.1,.667,10.4,22.0,32.4,13.7,6.9,2.2,13.0,18.0
867,Espoirs Nanterre,35,40.1,69.7,26.3,64.6,.407,7.6,26.0,.293,9.4,15.7,.601,11.5,24.3,35.8,13.5,9.1,1.9,16.5,18.0
868,CSM Targu Jiu,22,40.2,69.6,24.8,61.4,.404,7.0,22.5,.310,13.0,17.9,.728,10.5,20.0,30.5,14.7,6.0,2.5,16.2,16.5
869,Orlandina Basket,46,40.2,69.6,25.8,60.7,.425,7.5,24.3,.309,10.5,15.0,.700,7.9,23.9,31.8,15.8,5.5,1.8,14.5,18.3
870,Betsafe/Liepaja,40,40.3,69.5,25.3,64.9,.389,7.9,26.0,.302,11.1,16.2,.687,8.9,21.9,30.8,14.9,7.0,1.9,13.3,20.9
